gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
919426901,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.532,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,carissimus,SUBSPECIES,"Myotis lucifugus carissimus Thomas, 1904",Myotis lucifugus carissima,NA,US,Steens Mountains,Oregon,PRESENT,NA,311e2740-f15a-11d8-b22f-b8a03c50a862,42.5526906,-118.633955,25764,NA,NA,NA,NA,NA,1954-08-23,23,8,1954,4266438,2432406,PRESERVED_SPECIMEN,MSU,MR,MR.532,PAH546,NA,NA,CC0_1_0,NA,NA,NA,Native,2024-01-24T16:41:18Z,NA,COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY
812661917,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-26153,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,SPECIES,"Myotis lucifugus (Le Conte, 1831)",Myotis lucifugus,NA,US,"Owyhee Spring, 3.5 mi SE Rome",Oregon,PRESENT,NA,f56c5f80-055c-11d8-b84e-b8a03c50a862,42.7908962,-117.6060326,14,NA,NA,NA,NA,NA,1977-07-06,6,7,1977,2432406,2432406,PRESERVED_SPECIMEN,PSM,NA,Mammal-26153,NA,NA,NA,CC0_1_0,NA,C. Maser,NA,NA,2024-01-24T22:05:32Z,NA,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
812661915,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-26151,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,SPECIES,"Myotis lucifugus (Le Conte, 1831)",Myotis lucifugus,NA,US,"Unity, 8 mi NE, Middle Fork Burnt River",Oregon,PRESENT,NA,f56c5f80-055c-11d8-b84e-b8a03c50a862,44.519175,-118.0780719,6183,NA,NA,NA,NA,NA,1977-07-11,11,7,1977,2432406,2432406,PRESERVED_SPECIMEN,PSM,NA,Mammal-26151,NA,NA,NA,CC0_1_0,NA,C. Maser,NA,NA,2024-01-24T22:05:32Z,NA,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
812660602,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-24175,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,SPECIES,"Myotis lucifugus (Le Conte, 1831)",Myotis lucifugus,NA,US,"Shoat Springs, 6.8 mi S Hwy 66",Oregon,PRESENT,NA,f56c5f80-055c-11d8-b84e-b8a03c50a862,42.0472653,-122.3350377,14,NA,NA,NA,NA,NA,1970-06-19,19,6,1970,2432406,2432406,PRESERVED_SPECIMEN,PSM,NA,Mammal-24175,NA,NA,NA,CC0_1_0,NA,P. M. Lais,NA,NA,2024-01-24T22:05:43Z,NA,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
812658883,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-22191,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,SPECIES,"Myotis lucifugus (Le Conte, 1831)",Myotis lucifugus,NA,US,"W. L. Finley National Wildlife Refuge, 11 mi S Corvallis; T13S, R5W, S20, SW .25",Oregon,PRESENT,NA,f56c5f80-055c-11d8-b84e-b8a03c50a862,44.4220289,-123.3275024,582,NA,NA,NA,NA,NA,1974-06-03,3,6,1974,2432406,2432406,PRESERVED_SPECIMEN,PSM,NA,Mammal-22191,NA,NA,NA,CC0_1_0,NA,C. Maser and L. Keller and F. Zeillimak,NA,NA,2024-01-24T22:05:33Z,NA,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
812658880,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-22188,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,SPECIES,"Myotis lucifugus (Le Conte, 1831)",Myotis lucifugus,NA,US,W. L. Finley National Wildlife Refuge,Oregon,PRESENT,NA,f56c5f80-055c-11d8-b84e-b8a03c50a862,44.4089291,-123.321502,2911,NA,NA,NA,NA,NA,1974-08-08,8,8,1974,2432406,2432406,PRESERVED_SPECIMEN,PSM,NA,Mammal-22188,NA,NA,NA,CC0_1_0,NA,L. Keller,NA,NA,2024-01-24T22:05:33Z,NA,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
812658855,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-22164,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,SPECIES,"Myotis lucifugus (Le Conte, 1831)",Myotis lucifugus,NA,US,Uinto State Park,Oregon,PRESENT,NA,f56c5f80-055c-11d8-b84e-b8a03c50a862,45.6939345,-121.6675848,174,NA,NA,NA,NA,NA,1974-08-03,3,8,1974,2432406,2432406,PRESERVED_SPECIMEN,PSM,NA,Mammal-22164,NA,NA,NA,CC0_1_0,NA,L. Keller and J. Tabor,NA,NA,2024-01-24T22:05:33Z,NA,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
812658849,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-22085,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,SPECIES,"Myotis lucifugus (Le Conte, 1831)",Myotis lucifugus,NA,US,Memaloose State Park,Oregon,PRESENT,NA,f56c5f80-055c-11d8-b84e-b8a03c50a862,45.6955376,-121.3325764,335,NA,NA,NA,NA,NA,1974-08-01,1,8,1974,2432406,2432406,PRESERVED_SPECIMEN,PSM,NA,Mammal-22085,NA,NA,NA,CC0_1_0,NA,L. Keller and L. Mitchell,NA,NA,2024-01-24T22:05:33Z,NA,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
812658478,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-22217,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,SPECIES,"Myotis lucifugus (Le Conte, 1831)",Myotis lucifugus,NA,US,"Dry Creek; T24S, R41E, S4, NE .25",Oregon,PRESENT,NA,f56c5f80-055c-11d8-b84e-b8a03c50a862,43.5136875,-117.697446,582,NA,NA,NA,NA,NA,1976-07-30,30,7,1976,2432406,2432406,PRESERVED_SPECIMEN,PSM,NA,Mammal-22217,NA,NA,NA,CC0_1_0,NA,C. Maser and S. Shaver,NA,NA,2024-01-24T22:05:34Z,NA,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
812658476,8eddc200-f535-4c65-9b4d-f723eafe607e,urn:catalog:PSM:Mammal:Mammal-22215,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,SPECIES,"Myotis lucifugus (Le Conte, 1831)",Myotis lucifugus,NA,US,"Corvallis, 7 mi N, Sulphur Springs",Oregon,PRESENT,NA,f56c5f80-055c-11d8-b84e-b8a03c50a862,44.642227,-123.3153061,13,NA,NA,NA,NA,NA,1974-06-03,3,6,1974,2432406,2432406,PRESERVED_SPECIMEN,PSM,NA,Mammal-22215,NA,NA,NA,CC0_1_0,NA,C. Maser and V. Brockett,NA,NA,2024-01-24T22:05:34Z,NA,COORDINATE_REPROJECTED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
