x,y,species cloglog values
1.0,1.0,0.47255087
2.0,2.0,0.62605375
3.0,3.0,0.45173392
4.0,4.0,0.69836897
5.0,5.0,0.34536228
6.0,6.0,0.46286422
7.0,7.0,0.071096994
8.0,8.0,0.56726557
9.0,9.0,0.084325515
10.0,10.0,0.6017745
11.0,11.0,0.12535994
12.0,12.0,0.008690512
13.0,13.0,0.68827945
14.0,14.0,0.6016859
15.0,15.0,0.53030074
16.0,16.0,0.036760256
17.0,17.0,0.5820347
18.0,18.0,0.035769332
19.0,19.0,0.5926061
20.0,20.0,0.060470127
21.0,21.0,0.22459836
22.0,22.0,0.18089393
23.0,23.0,0.5623357
24.0,24.0,0.38154092
25.0,25.0,0.74418765
26.0,26.0,0.7080354
27.0,27.0,0.002962352
28.0,28.0,0.11559672
29.0,29.0,0.009498646
30.0,30.0,0.1012041
31.0,31.0,0.071914345
32.0,32.0,0.0011208
33.0,33.0,0.75502414
34.0,34.0,0.18810365
35.0,35.0,0.20523117
36.0,36.0,0.0029739635
37.0,37.0,0.6794468
38.0,38.0,0.62861264
39.0,39.0,0.17282425
40.0,40.0,0.2185051
41.0,41.0,0.14934233
42.0,42.0,0.002969009
43.0,43.0,0.090241075
44.0,44.0,0.6353552
45.0,45.0,0.27284533
46.0,46.0,0.6763416
47.0,47.0,0.040089596
48.0,48.0,0.0019741384
49.0,49.0,0.11436467
50.0,50.0,0.10985985
51.0,51.0,0.12723494
52.0,52.0,0.23128767
53.0,53.0,0.012034319
54.0,54.0,9.475229E-4
55.0,55.0,0.009068584
56.0,56.0,0.08160002
57.0,57.0,0.03624965
58.0,58.0,0.48365724
59.0,59.0,0.52242464
60.0,60.0,0.619731
61.0,61.0,0.026694458
62.0,62.0,0.7414409
63.0,63.0,0.41198522
64.0,64.0,0.6136166
65.0,65.0,0.049093377
66.0,66.0,0.044434503
67.0,67.0,0.23114048
68.0,68.0,0.001924993
69.0,69.0,0.32238126
70.0,70.0,0.008642579
71.0,71.0,0.66944736
72.0,72.0,0.34818697
73.0,73.0,0.70991135
74.0,74.0,0.7281893
75.0,75.0,0.6549736
76.0,76.0,0.62377083
77.0,77.0,0.5999679
78.0,78.0,0.5003027
79.0,79.0,0.54852724
80.0,80.0,0.29047394
81.0,81.0,0.37926564
82.0,82.0,0.6890587
83.0,83.0,0.016481575
84.0,84.0,0.7240351
85.0,85.0,0.41139525
86.0,86.0,9.5052406E-4
87.0,87.0,0.30871883
88.0,88.0,0.64182365
89.0,89.0,0.13627511
90.0,90.0,0.52969
91.0,91.0,0.33794725
92.0,92.0,0.03142846
93.0,93.0,0.2959927
94.0,94.0,0.2674584
95.0,95.0,0.08747212
96.0,96.0,0.35422382
97.0,97.0,0.040886376
98.0,98.0,0.0021045024
99.0,99.0,0.21476509
100.0,100.0,0.050277423
101.0,101.0,0.0010721234
102.0,102.0,0.60010964
103.0,103.0,0.44662312
104.0,104.0,0.5385828
105.0,105.0,0.032219633
106.0,106.0,0.5304693
107.0,107.0,0.018315736
108.0,108.0,0.13912232
109.0,109.0,0.018526977
110.0,110.0,0.26564488
111.0,111.0,0.0036350621
112.0,112.0,0.49135143
113.0,113.0,0.4062192
114.0,114.0,0.4140843
115.0,115.0,0.051737607
116.0,116.0,0.00192743
117.0,117.0,0.38271186
118.0,118.0,0.63128066
119.0,119.0,0.20546015
120.0,120.0,0.117509566
121.0,121.0,0.56495553
122.0,122.0,0.47040275
123.0,123.0,0.019248333
124.0,124.0,0.36048648
125.0,125.0,0.046575855
126.0,126.0,0.33843595
127.0,127.0,0.5428337
128.0,128.0,0.40983453
129.0,129.0,0.47632557
130.0,130.0,0.46108302
131.0,131.0,0.6042324
132.0,132.0,0.2311634
133.0,133.0,0.13675009
134.0,134.0,0.2116253
135.0,135.0,0.0960576
136.0,136.0,0.32241115
137.0,137.0,0.6294984
138.0,138.0,0.47259453
139.0,139.0,0.13741796
140.0,140.0,0.5017735
141.0,141.0,0.78328943
142.0,142.0,0.48680574
143.0,143.0,0.24798048
144.0,144.0,0.431842
145.0,145.0,0.016602531
146.0,146.0,0.060740698
147.0,147.0,0.0043709422
148.0,148.0,0.05190452
149.0,149.0,0.51930887
150.0,150.0,0.6200338
151.0,151.0,0.296431
152.0,152.0,0.6355257
153.0,153.0,0.6948992
154.0,154.0,0.020180335
155.0,155.0,0.24794282
156.0,156.0,0.09558082
157.0,157.0,0.011357016
158.0,158.0,0.28029072
159.0,159.0,0.0013243387
160.0,160.0,0.608728
161.0,161.0,0.67671025
162.0,162.0,0.024541833
163.0,163.0,0.0010262824
164.0,164.0,0.044481497
165.0,165.0,0.6474358
166.0,166.0,0.22539578
167.0,167.0,0.09031446
168.0,168.0,0.50272465
169.0,169.0,0.47333664
170.0,170.0,0.021874275
171.0,171.0,0.044294655
172.0,172.0,0.7159133
173.0,173.0,0.094704315
174.0,174.0,0.0871619
175.0,175.0,0.039871152
176.0,176.0,0.6381069
177.0,177.0,0.2004867
178.0,178.0,0.26959878
179.0,179.0,0.6899561
180.0,180.0,0.16637582
181.0,181.0,0.26416457
182.0,182.0,0.2734091
183.0,183.0,0.6831028
184.0,184.0,0.11076268
185.0,185.0,0.26307958
186.0,186.0,0.5519124
187.0,187.0,0.033258762
