X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.3432793639721587E-4,8.719544138283684,0.44674184070150347
2.0,2.0,train,3.099196603869167E-4,85.70203031805765,0.7447966087040537
3.0,3.0,train,3.0875049049482975E-4,84.4878045653467,0.7434783892498433
4.0,4.0,train,2.641807354057921E-4,52.79213993617386,0.6878092589495746
5.0,5.0,train,1.973890394700235E-4,21.018898622852067,0.5809714027741
6.0,6.0,train,3.2274276056520976E-4,92.07115168519702,0.7588173657415676
7.0,7.0,train,3.084825646421288E-4,84.34087717075414,0.7431753496441913
8.0,8.0,train,3.1111606597206934E-4,86.53359093154633,0.7461385235869453
9.0,9.0,train,3.1284894388710857E-4,87.51433647384404,0.7480696561006328
10.0,10.0,train,2.880300205917358E-4,68.7424443128225,0.7189535661027111
11.0,11.0,train,2.790673350586896E-4,62.40619488375212,0.7076315148397743
12.0,12.0,train,2.8338416287412236E-4,65.51968213399371,0.7131405500398132
13.0,13.0,train,3.083825536131708E-4,84.28590180713289,0.7430621396633592
14.0,14.0,train,2.424717237638977E-4,40.225502683356105,0.6564689660791091
15.0,15.0,train,3.0501829300269253E-4,82.1649755909468,0.7392246667108704
16.0,16.0,train,2.880762471087576E-4,68.77836629101914,0.7190108100314331
17.0,17.0,train,3.103237484722922E-4,86.01884477443592,0.745250634253378
18.0,18.0,train,3.141423479713351E-4,88.52742501114464,0.7495014551598969
19.0,19.0,train,3.1230919535395565E-4,87.26431856026612,0.7474697366510167
20.0,20.0,train,3.0904546476939585E-4,84.798653101464,0.7438116086576761
21.0,21.0,train,3.2394617265053285E-4,92.55065615766517,0.7600929636574247
22.0,22.0,train,3.119080143361484E-4,87.0145463266895,0.7470229068188046
23.0,23.0,train,2.502754200924689E-4,44.35897078250381,0.668081444681311
24.0,24.0,train,3.1728625691720866E-4,90.25335273185317,0.7529479267366201
25.0,25.0,train,2.894602780810687E-4,69.95639567638418,0.7207193146318435
26.0,26.0,train,3.1096515402335816E-4,86.4440585658365,0.7459696470730981
27.0,27.0,train,3.0491854671120425E-4,82.08190933186049,0.7391100195961613
28.0,28.0,train,3.173299468388058E-4,90.27017517598709,0.7529954856995917
29.0,29.0,train,1.5584414619029086E-4,12.231858389375711,0.4967881644538594
30.0,30.0,train,2.5831565385882083E-4,49.09532980222995,0.6796354822387931
31.0,31.0,train,2.468432455930358E-4,42.21111145382,0.6630232722163287
32.0,32.0,train,2.9159152633340184E-4,71.7610089802888,0.7233299222235796
33.0,33.0,train,3.128636318067157E-4,87.54253714773537,0.7480859614881663
34.0,34.0,train,3.0494751290374234E-4,82.10603166481354,0.7391433181605294
35.0,35.0,train,3.137833168819529E-4,88.29787729544249,0.7491048254213883
36.0,36.0,train,2.942622365918451E-4,74.0879682160006,0.7265669045629692
37.0,37.0,train,2.7585424064335785E-4,60.00448757722439,0.7034624692851772
38.0,38.0,train,2.641807354057921E-4,52.79213993617386,0.6878092589495746
39.0,39.0,train,2.641807354057921E-4,52.79213993617386,0.6878092589495746
40.0,40.0,train,2.3927913596916812E-4,38.735584623625115,0.651601849456029
41.0,41.0,train,2.6974747071854523E-4,56.001990604265465,0.6953742632602051
42.0,42.0,train,2.826405850746179E-4,65.11770019889813,0.7121990687346398
43.0,43.0,train,1.3102740483397006E-4,8.362109431422427,0.43863637111015974
44.0,44.0,train,2.805346028579579E-4,63.36924793014199,0.7095157760634694
45.0,45.0,train,3.0971658740222156E-4,85.4679693339063,0.7445681344130937
46.0,46.0,train,2.8195059644756175E-4,64.71412176239669,0.7113226756413875
47.0,47.0,train,3.163695278865061E-4,89.88744894422764,0.7519479004902684
48.0,48.0,train,2.8363440294746815E-4,65.68064478155746,0.7134566984520789
49.0,49.0,train,2.729792406528771E-4,58.00984457111037,0.6996817374848756
50.0,50.0,train,3.167460510454545E-4,90.02403023443601,0.7523591247956497
51.0,51.0,train,2.4167794589407057E-4,39.84337282779697,0.6552652358958047
52.0,52.0,train,3.0948724802122704E-4,85.21321767738192,0.7443098622534003
53.0,53.0,train,2.7449184817574364E-4,59.09507696629547,0.7016768428112039
54.0,54.0,train,3.184100737397846E-4,90.77198262138468,0.7541683585724148
55.0,55.0,train,2.6892422284349575E-4,55.567659470800564,0.694267156215542
56.0,56.0,train,2.4713860983169495E-4,42.42979086672843,0.6634615804567752
57.0,57.0,train,2.8439230364232814E-4,66.2572370042219,0.7144120912408924
58.0,58.0,train,2.443963893059063E-4,41.13609547679651,0.6593702169469603
59.0,59.0,train,2.862946696357955E-4,67.3873624215891,0.7167961625107828
60.0,60.0,train,2.8337821075198665E-4,65.51676673966344,0.7131330259996607
61.0,61.0,train,2.9801313764135173E-4,76.77159515097263,0.731049265978353
62.0,62.0,train,2.790284914227825E-4,62.3726746844521,0.707581466230381
63.0,63.0,train,2.819778525369211E-4,64.75603363403333,0.7113573456978219
64.0,64.0,train,2.700212141440456E-4,56.17465981960006,0.695741505637008
65.0,65.0,train,2.7576406487129064E-4,59.92396832539188,0.7033446109668137
66.0,66.0,train,3.184555581128982E-4,90.79276472751629,0.7542176261132693
67.0,67.0,train,2.677960711055891E-4,54.5262315391986,0.6927434754600376
68.0,68.0,train,2.951747040440543E-4,74.82551817774466,0.7276641405490254
69.0,69.0,train,3.1723909569682246E-4,90.23323043114955,0.7528965787901694
70.0,70.0,train,2.5128774813774343E-4,45.27485008677183,0.6695588133839876
71.0,71.0,train,2.7136918546368384E-4,57.05208827611444,0.6975434383312791
72.0,72.0,train,3.0955406471560237E-4,85.25694532222455,0.7443851352910527
73.0,73.0,train,2.780595334941423E-4,61.79073053020952,0.7063302230069084
74.0,74.0,train,3.181710024386091E-4,90.63694388948666,0.7539092400711993
75.0,75.0,train,3.067540202724581E-4,83.04233005898266,0.7412116425230615
76.0,76.0,train,2.723031382479274E-4,57.75229023923088,0.6987856596223568
77.0,77.0,train,2.6222543535187146E-4,51.263943052510356,0.6851077265485033
78.0,78.0,train,2.80747119513051E-4,64.02472257833634,0.7097876806907994
79.0,79.0,train,3.167656685177354E-4,90.03114634299688,0.7523805315595828
80.0,80.0,train,3.2147620627895096E-4,91.81851106708355,0.7574675118453644
81.0,81.0,train,2.8838591186217116E-4,69.08170257122227,0.7193939782877501
82.0,82.0,train,2.8056773463801916E-4,63.41598791086499,0.7095581833057434
83.0,83.0,train,2.3854531399219997E-4,38.26557143827834,0.6504734227929807
84.0,84.0,train,2.597271195687372E-4,49.76618658670877,0.6816218938613279
85.0,85.0,train,2.3854531399219997E-4,38.26557143827834,0.6504734227929807
86.0,86.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
87.0,87.0,train,2.3854531399219997E-4,38.26557143827834,0.6504734227929807
88.0,88.0,train,2.597271195687372E-4,49.76618658670877,0.6816218938613279
89.0,89.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
90.0,90.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
91.0,91.0,train,2.3854531399219997E-4,38.26557143827834,0.6504734227929807
92.0,92.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
93.0,93.0,train,2.3854531399219997E-4,38.26557143827834,0.6504734227929807
94.0,94.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
95.0,95.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
96.0,96.0,train,2.3854531399219997E-4,38.26557143827834,0.6504734227929807
97.0,97.0,train,2.597271195687372E-4,49.76618658670877,0.6816218938613279
98.0,98.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
99.0,99.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
100.0,100.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
101.0,101.0,train,2.597271195687372E-4,49.76618658670877,0.6816218938613279
102.0,102.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
103.0,103.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
104.0,104.0,train,2.5531614321343244E-4,47.424031237342646,0.6753729019537777
105.0,105.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
106.0,106.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
107.0,107.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
108.0,108.0,train,2.5531614321343244E-4,47.424031237342646,0.6753729019537777
109.0,109.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
110.0,110.0,train,2.6370723701244354E-4,52.19376992554538,0.6871571861222011
111.0,111.0,train,2.5531614321343244E-4,47.424031237342646,0.6753729019537777
112.0,112.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
113.0,113.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
114.0,114.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
115.0,115.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
116.0,116.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
117.0,117.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
118.0,118.0,train,2.767298475352666E-4,60.63239770985302,0.7046044418432742
119.0,119.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
120.0,120.0,train,2.3854531399219997E-4,38.26557143827834,0.6504734227929807
121.0,121.0,train,2.807123395055823E-4,63.85940790917185,0.7097431988031131
122.0,122.0,train,2.597271195687372E-4,49.76618658670877,0.6816218938613279
123.0,123.0,train,1.9409287402948606E-4,20.18651222639848,0.5748406339585683
124.0,124.0,train,3.1290849166391274E-4,87.62891829148488,0.7481357548840084
125.0,125.0,train,3.5099012460136706E-4,98.34367267741301,0.7870453129745063
126.0,126.0,train,2.4339488015929272E-4,40.461859877362514,0.6578636076929055
127.0,127.0,train,1.7094432259594924E-4,15.179683923975054,0.5291824421691852
128.0,128.0,train,2.3346630392963988E-4,35.98799360903871,0.642562397512084
129.0,129.0,train,2.873478442926223E-4,68.15640172874936,0.7181074459377437
130.0,130.0,train,1.8370748044867642E-4,18.022666389638186,0.554931396497247
131.0,131.0,train,2.0579624359701743E-4,24.005971450928023,0.5962112213166757
132.0,132.0,train,2.0579624359701743E-4,24.005971450928023,0.5962112213166757
133.0,133.0,train,3.118610342670391E-4,86.98664462329037,0.7469705293848381
134.0,134.0,train,1.4352945225275056E-4,10.225642612756305,0.46872634098819566
135.0,135.0,train,2.150557836769144E-4,27.37964915148456,0.6123554725638247
136.0,136.0,train,2.166980939303847E-4,28.07292731827533,0.6151507358757031
137.0,137.0,train,2.201838906992411E-4,29.84455082466283,0.6210170580128936
138.0,138.0,train,2.207872146513091E-4,30.006359092085653,0.6220232884757912
139.0,139.0,train,1.563481304029844E-4,12.34868770400457,0.49790448785410857
140.0,140.0,train,1.5519958653010212E-4,12.116998899675352,0.49535684921105705
141.0,141.0,train,1.9949238836254092E-4,21.660564527216433,0.5848372820698375
142.0,142.0,train,1.984181169299278E-4,21.29945590106297,0.5828672869774851
143.0,143.0,train,2.2965323946339518E-4,34.26352008649202,0.636505746302091
144.0,144.0,train,1.6093617985213365E-4,13.213625238605925,0.5079537925505133
145.0,145.0,train,2.1460145724858166E-4,27.217208036889865,0.6115786159259178
146.0,146.0,train,2.810672883790074E-4,64.2775420079704,0.7101968405562651
147.0,147.0,train,2.0406559910644744E-4,23.30431039051289,0.5931200462649489
148.0,148.0,train,2.2950350790885767E-4,34.200939946425365,0.6362658306511785
149.0,149.0,train,2.308296356846213E-4,34.994252293090035,0.6383851946600767
150.0,150.0,train,2.198302488691727E-4,29.72428768683801,0.6204260053975849
151.0,151.0,train,2.112222891273772E-4,25.8707012481768,0.6057514843509546
152.0,152.0,train,2.016346413351626E-4,22.541053255857832,0.5887380062433096
153.0,153.0,train,2.100226393932849E-4,25.51107755133127,0.6036618159657636
154.0,154.0,train,2.5439259661270795E-4,47.05134979461498,0.6740490725512858
155.0,155.0,train,2.482321349637992E-4,43.14711885285778,0.6650793694558377
156.0,156.0,train,3.3167471188377064E-4,94.90428190653586,0.7681258291941278
157.0,157.0,train,3.3167471188377064E-4,94.90428190653586,0.7681258291941278
158.0,158.0,train,1.9324514222902254E-4,20.01709799943574,0.5732494291899646
159.0,159.0,train,1.7496369496174512E-4,16.086989300670467,0.5374480522593142
160.0,160.0,train,2.100226393932849E-4,25.51107755133127,0.6036618159657636
161.0,161.0,train,2.796555195588989E-4,62.76240239588878,0.7083883230673432
162.0,162.0,train,3.1285486448142866E-4,87.52565498106704,0.7480762288115563
163.0,163.0,train,1.7460483746727345E-4,16.00856826752045,0.5367160197339133
164.0,164.0,train,2.451116973126298E-4,41.49740396126357,0.6604422195294855
165.0,165.0,train,1.5296022322523867E-4,11.756288717172575,0.4903523811219288
166.0,166.0,train,2.1331215677315133E-4,26.505730375356464,0.6093655416951823
